qid	len_fileA	len_fileB	min_len
612846	6	9	6
1051285	6	6	6
952047	7	6	6
563943	7	7	7
1083340	11	9	9
808746	7	6	6
250228	8	7	7
351820	9	8	8
1058717	6	7	6
1096551	13	9	9
897789	6	6	6
403388	6	8	6
655046	10	6	6
567630	8	7	7
1081338	7	7	7
1093443	6	9	6
1029617	8	9	8
161828	7	7	7
1027178	6	6	6
1084599	6	7	6
1026711	9	10	9
564668	7	7	7
280223	8	7	7
885932	11	11	11
922398	9	6	6
278429	10	11	10
1010524	13	10	10
892329	6	6	6
178468	8	6	6
282214	6	7	6
1097786	6	6	6
783963	6	7	6
1045567	6	7	6
855050	9	7	7
1086022	6	6	6
872777	6	8	6
656376	12	13	12
1086075	7	7	7
1093196	9	8	8
1040088	7	6	6
1084389	6	6	6
1087122	9	7	7
992531	7	7	7
581975	11	7	7
515813	8	7	7
1040038	8	6	6
869891	8	6	6
1098905	6	8	6
848478	10	8	8
820899	8	6	6
944700	9	8	8
77424	7	10	7
776517	7	6	6
816483	13	7	7
578783	6	6	6
591898	6	7	6
913286	9	7	7
1020198	8	7	7
408563	8	8	8
1096368	7	8	7
339888	7	6	6
222158	8	8	8
758519	7	7	7
1001810	15	16	15
1013797	9	8	8
1084722	6	6	6
227992	6	6	6
932639	7	6	6
992802	23	21	21
868953	7	7	7
591993	6	7	6
896931	8	8	8
985167	9	7	7
405310	8	6	6
1031033	9	7	7
641293	11	7	7
209764	6	7	6
68832	7	7	7
275997	9	7	7
825948	8	7	7
1098452	9	6	6
329958	6	7	6
878817	9	9	9
73257	6	6	6
910622	18	23	18
1011512	10	14	10
870422	10	9	9
991762	7	6	6
1033443	8	6	6
936273	8	8	8
961950	6	7	6
1007473	11	12	11
289586	8	6	6
144682	7	8	7
1085796	6	9	6
507434	11	10	10
267187	7	7	7
1095807	8	7	7
1090537	9	10	9
582705	11	11	11
15063	6	8	6
1037689	7	6	6
436844	7	6	6
145569	7	7	7
352236	6	10	6
399970	6	8	6
270140	11	14	11
1099452	12	16	12
315291	10	6	6
779475	8	8	8
840061	7	7	7
901206	7	8	7
988954	7	8	7
601624	8	7	7
900731	9	9	9
102627	6	7	6
613870	6	6	6
234821	7	7	7
1101282	8	8	8
1076078	7	9	7
630318	9	6	6
1096605	8	6	6
822937	7	6	6
1040793	9	8	8
1003875	6	8	6
1015055	13	14	13
896383	10	8	8
63152	9	10	9
705681	7	7	7
1031682	9	8	8
1022198	16	12	12
580483	7	11	7
454018	7	7	7
1094612	29	24	24
1100119	6	8	6
283154	8	8	8
156889	8	6	6
539648	7	9	7
1015641	8	7	7
285656	8	7	7
1025259	14	12	12
1000170	11	8	8
1101434	6	6	6
624644	7	7	7
420365	6	6	6
260762	8	8	8
234114	7	8	7
275355	8	7	7
303934	8	9	8
1068924	11	14	11
263889	7	8	7
1071389	7	7	7
1065971	7	6	6
703270	11	8	8
627323	8	8	8
1025801	9	9	9
996011	14	14	14
568585	9	8	8
650462	8	6	6
1027373	7	6	6
1095085	6	8	6
1024592	7	10	7
573157	9	6	6
372070	7	6	6
634174	7	8	7
1097995	7	8	7
996181	8	7	7
9454	7	6	6
674702	7	10	7
992757	16	12	12
277701	8	9	8
328611	9	7	7
147073	6	8	6
198807	11	16	11
1093927	6	8	6
454258	6	6	6
872855	15	15	15
913374	9	8	8
1085775	13	9	9
1095377	8	8	8
999685	7	7	7
1033652	7	7	7
571103	6	6	6
738165	6	6	6
961097	6	7	6
1095816	7	7	7
866251	10	8	8
603031	6	6	6
1092832	10	9	9
1039052	7	7	7
1095059	6	7	6
1066792	7	6	6
1040959	14	11	11
297672	12	11	11
59190	7	8	7
1071722	9	10	9
1047592	7	7	7
1082427	6	7	6
1056950	9	9	9
1099050	9	9	9
641156	11	10	10
1029772	9	7	7
1089940	15	11	11
1016281	8	7	7
27618	6	7	6
631724	6	6	6
20671	12	12	12
13397	9	9	9
173001	9	8	8
840445	8	7	7
891719	10	7	7
362845	8	11	8
986411	7	7	7
170788	8	8	8
111723	11	14	11
893642	10	10	10
968071	8	8	8
331352	9	8	8
1034703	10	8	8
849337	8	10	8
838845	8	7	7
1016547	7	7	7
1090029	6	7	6
660534	7	6	6
161117	10	10	10
1090530	6	6	6
307492	6	6	6
252295	12	9	9
817597	8	7	7
1089541	14	14	14
1023363	6	7	6
988504	8	8	8
1101303	7	8	7
329901	8	6	6
330792	7	7	7
1094215	8	7	7
1087185	7	6	6
1050670	6	8	6
988911	8	6	6
208265	6	6	6
995595	8	9	8
417902	8	8	8
917022	7	6	6
537825	6	6	6
391481	12	13	12
824371	7	6	6
576312	8	12	8
944451	7	7	7
511837	7	8	7
1038859	9	8	8
1009183	8	6	6
176677	12	8	8
944231	7	7	7
971729	7	6	6
844594	9	8	8
1094991	10	7	7
328527	11	7	7
636188	7	6	6
1095566	8	6	6
192579	8	8	8
991079	6	6	6
1047625	7	7	7
1031684	10	11	10
18101	6	8	6
8798	7	7	7
1006509	9	10	9
818842	8	8	8
1095942	9	7	7
593732	11	8	8
915544	10	10	10
1098763	9	7	7
170770	7	8	7
282397	7	6	6
592672	10	10	10
659230	12	11	11
436602	6	6	6
1008968	9	8	8
812734	8	8	8
828779	6	6	6
1089805	11	9	9
1002238	8	7	7
1010287	7	8	7
1087803	7	9	7
393696	12	11	11
29097	8	8	8
75608	6	6	6
999756	7	7	7
1099836	6	7	6
427730	8	7	7
1043955	8	8	8
868487	6	8	6
649893	9	8	8
1021797	7	8	7
868598	13	13	13
1083535	8	9	8
940386	10	14	10
245120	6	6	6
822649	8	6	6
993353	11	13	11
686260	7	7	7
28442	8	6	6
1073980	7	6	6
985275	7	8	7
1053901	6	7	6
1049867	6	7	6
1087042	7	7	7
994792	6	7	6
1083307	8	6	6
1082779	8	6	6
61836	8	7	7
1096454	11	10	10
931772	8	6	6
992365	6	6	6
100307	8	7	7
1089706	12	8	8
6791	7	7	7
845304	10	6	6
825954	8	10	8
1083430	7	6	6
843409	7	6	6
661028	7	6	6
1089670	9	8	8
1024835	8	8	8
1083472	9	9	9
865476	8	7	7
1082603	8	8	8
826153	12	13	12
988743	9	10	9
754191	8	11	8
1099595	8	9	8
663771	9	9	9
877810	7	9	7
546825	7	6	6
872946	6	8	6
847722	9	7	7
809798	10	7	7
996414	6	6	6
1089804	10	7	7
400631	7	8	7
339934	8	7	7
592220	6	7	6
1095108	9	7	7
163570	6	8	6
1048876	7	9	7
61623	7	9	7
1032182	8	7	7
1089143	7	9	7
458885	6	6	6
1021605	9	10	9
939473	11	10	10
62411	9	8	8
1060496	8	7	7
400696	7	7	7
1026148	6	6	6
597870	9	7	7
1092417	6	6	6
387662	7	6	6
316803	11	7	7
1039346	9	7	7
1094477	11	16	11
1022359	7	8	7
881695	6	6	6
1010048	8	7	7
1096739	11	7	7
941515	9	7	7
260172	8	9	8
831601	8	8	8
814568	9	8	8
1022124	8	6	6
1053992	10	7	7
238886	7	6	6
1097014	12	11	11
944949	6	7	6
935358	8	6	6
921812	6	7	6
616331	7	8	7
293401	10	10	10
172981	6	8	6
759062	11	7	7
1095306	7	6	6
310948	8	7	7
8714	16	12	12
302878	8	7	7
1098520	8	12	8
619087	6	6	6
323096	9	6	6
782079	8	6	6
248385	8	9	8
902919	6	7	6
416457	6	7	6
1012464	10	8	8
833507	8	9	8
326719	7	6	6
1098249	11	12	11
1011382	6	6	6
1019830	6	7	6
1097999	7	8	7
997122	8	7	7
1091688	6	7	6
645024	6	7	6
1084838	7	8	7
1085393	6	7	6
257309	16	13	13
277737	6	6	6
323382	9	7	7
81137	10	9	9
1000864	7	9	7
303790	11	11	11
1031054	9	8	8
1082002	6	7	6
740876	7	7	7
976829	7	6	6
574317	8	10	8
974670	7	7	7
759515	7	7	7
190078	6	6	6
858421	6	6	6
581552	7	8	7
831052	7	6	6
470001	6	6	6
995805	8	11	8
778948	6	6	6
1095982	6	6	6
239189	9	9	9
440098	7	8	7
991241	6	6	6
77323	7	7	7
1082502	7	7	7
18759	6	8	6
1037188	11	9	9
285375	7	8	7
1096257	7	6	6
65038	6	9	6
659247	6	6	6
428424	14	11	11
869519	8	9	8
1087735	6	7	6
315884	10	7	7
783687	8	9	8
1090965	6	8	6
1098182	14	12	12
1012866	8	6	6
388588	10	9	9
914368	6	7	6
807585	7	6	6
745794	6	7	6
1017605	6	7	6
834848	13	7	7
994133	9	10	9
267341	9	9	9
1022132	11	8	8
1084197	7	7	7
550609	7	7	7
1079888	6	6	6
66161	10	9	9
300933	6	6	6
884533	6	6	6
1096498	9	8	8
1013229	10	6	6
1098556	8	6	6
832508	7	7	7
1055921	11	11	11
913579	7	7	7
662334	7	8	7
1084814	6	6	6
613727	6	6	6
998641	9	8	8
761963	6	8	6
1049894	6	9	6
885301	7	6	6
76283	6	6	6
337509	11	6	6
979787	6	7	6
1087317	8	6	6
153794	8	8	8
412982	6	6	6
658667	8	8	8
1095469	12	8	8
1098510	8	7	7
939744	6	7	6
503401	7	6	6
667373	6	6	6
1086681	9	9	9
1086834	11	11	11
860078	6	6	6
1012865	6	9	6
627085	8	6	6
912898	6	9	6
262974	7	9	7
387864	10	11	10
1096429	8	6	6
436586	8	9	8
1079535	7	6	6
326410	9	6	6
320792	8	7	7
741392	7	6	6
1013592	9	8	8
628532	6	7	6
1085422	6	7	6
1040022	8	6	6
953274	10	10	10
921621	9	8	8
994397	8	9	8
1007628	14	10	10
865616	6	8	6
21741	8	9	8
639163	6	7	6
1097198	9	7	7
1094579	6	6	6
1094566	6	7	6
885433	10	9	9
1086120	6	6	6
1095874	6	6	6
230725	7	7	7
1098110	7	9	7
662282	6	6	6
406923	7	7	7
427532	9	7	7
540306	16	13	13
69506	8	11	8
239648	6	7	6
81075	7	7	7
721409	7	7	7
986068	8	8	8
415500	6	6	6
69871	8	10	8
1102001	6	7	6
1000619	7	6	6
370068	9	11	9
690956	6	6	6
75698	7	8	7
1096628	9	6	6
960566	7	8	7
979133	7	7	7
1096870	9	11	9
473319	7	9	7
1029030	7	7	7
74356	7	8	7
1087077	7	6	6
813605	7	6	6
69789	11	10	10
1003849	6	7	6
289276	9	8	8
540906	7	7	7
993627	10	11	10
290779	8	10	8
662524	12	10	10
733422	6	6	6
893271	12	14	12
1084986	6	6	6
630391	9	6	6
1072506	8	8	8
426214	7	8	7
217246	9	7	7
910818	8	8	8
1083443	7	7	7
810270	10	8	8
1097939	6	8	6
991111	6	9	6
1034446	8	7	7
89418	7	7	7
531142	6	7	6
935362	9	7	7
882141	9	9	9
1095335	6	7	6
1086713	7	6	6
855029	8	7	7
144491	9	10	9
991685	7	7	7
1017204	7	8	7
1041714	9	6	6
575146	10	9	9
1060868	6	8	6
1031909	9	6	6
953332	8	6	6
957607	7	7	7
931726	8	9	8
988710	11	6	6
841521	8	8	8
1097674	10	7	7
1034680	6	7	6
1043337	7	6	6
394021	6	6	6
842596	7	8	7
1089964	7	7	7
176701	10	13	10
303045	6	6	6
1099756	7	8	7
1003006	6	6	6
1074989	9	7	7
231482	8	9	8
443489	6	7	6
995380	11	8	8
605651	6	6	6
861403	6	9	6
1065558	8	8	8
1086575	7	6	6
556248	8	8	8
1087046	9	8	8
1048585	6	6	6
1080253	15	11	11
330640	9	7	7
789997	8	6	6
540456	7	9	7
290830	8	9	8
1038184	8	7	7
593792	7	6	6
942354	8	9	8
939020	6	6	6
307521	6	6	6
1068726	10	11	10
496717	6	6	6
225752	8	7	7
1059442	6	6	6
438455	8	7	7
904389	8	7	7
1097448	7	8	7
807845	9	7	7
192894	8	8	8
430989	7	11	7
1040312	8	6	6
914845	7	7	7
728823	6	7	6
1045135	7	6	6
1077844	10	9	9
786674	6	8	6
1087848	6	6	6
1022735	9	9	9
994947	6	7	6
872823	6	6	6
884870	8	8	8
1096527	8	6	6
884722	8	9	8
244929	7	9	7
327750	7	7	7
848100	9	7	7
1007606	7	7	7
929046	8	9	8
1073721	7	10	7
900062	6	7	6
430229	6	8	6
1095555	8	6	6
1095557	9	10	9
998680	7	8	7
1017952	10	12	10
272047	6	7	6
653092	6	6	6
1003695	6	7	6
733510	6	6	6
1095654	11	8	8
608323	7	7	7
963788	8	9	8
964152	9	9	9
1003603	8	9	8
1080937	7	6	6
915769	7	6	6
837476	8	7	7
634412	8	6	6
1085192	11	11	11
1098609	12	7	7
1007875	6	8	6
1050033	6	6	6
84473	6	7	6
571954	9	6	6
733186	8	8	8
1034839	13	11	11
1085327	6	6	6
1102163	7	7	7
424092	7	8	7
574569	9	8	8
934795	10	10	10
1101279	8	10	8
1082445	6	7	6
817349	9	7	7
1040353	8	7	7
617611	9	10	9
272605	8	6	6
953355	8	8	8
824920	7	7	7
241246	9	8	8
1036380	8	6	6
42361	6	6	6
244011	10	8	8
63548	7	7	7
1086893	9	7	7
805900	12	9	9
70787	6	6	6
688644	10	9	9
212634	6	8	6
883282	8	8	8
808362	7	6	6
1014264	7	7	7
749244	6	6	6
811266	10	7	7
1099108	9	8	8
415815	8	7	7
1016915	7	8	7
564707	9	7	7
988412	9	6	6
994479	16	18	16
1093507	11	8	8
519145	10	11	10
636437	7	7	7
1033534	9	7	7
1086281	7	7	7
588775	8	9	8
831815	8	8	8
1089691	6	9	6
1052717	6	6	6
1091059	6	6	6
1100732	6	9	6
911605	7	7	7
1040694	7	6	6
314907	9	7	7
808528	12	12	12
1047012	6	7	6
584500	8	9	8
1007673	6	7	6
1091108	13	11	11
609104	6	8	6
803237	6	6	6
288200	7	9	7
293992	8	7	7
816893	10	7	7
664138	9	10	9
921348	9	7	7
829050	7	6	6
675320	6	7	6
393268	7	7	7
970242	7	10	7
1000459	9	9	9
842221	12	9	9
284565	7	8	7
1092470	6	6	6
167371	7	6	6
955117	10	9	9
885986	8	9	8
666792	13	13	13
1083948	6	8	6
1086679	7	8	7
82100	6	6	6
574547	9	8	8
1100187	6	8	6
256052	9	6	6
613852	6	7	6
458110	6	8	6
1099288	6	7	6
1082730	8	9	8
1097537	8	8	8
861433	6	6	6
818612	8	7	7
660479	6	8	6
1096610	7	8	7
1026991	10	7	7
1085733	6	8	6
915305	8	7	7
723144	6	8	6
1096667	9	6	6
639084	6	9	6
1096932	9	7	7
301777	8	8	8
865426	10	9	9
1043969	11	8	8
1086765	8	6	6
567714	9	6	6
994941	7	9	7
1015766	14	12	12
1086836	10	6	6
1023025	9	10	9
1101906	6	9	6
1085550	6	7	6
1095560	9	9	9
369981	7	6	6
914545	9	8	8
869827	8	7	7
1096360	8	7	7
855031	8	7	7
887398	8	8	8
54648	8	6	6
1038830	7	6	6
427086	6	8	6
862701	10	7	7
804197	7	6	6
551309	8	7	7
798253	6	7	6
556587	6	6	6
633916	7	8	7
905604	8	9	8
577511	9	8	8
1097905	7	8	7
941865	10	8	8
1019414	10	8	8
517386	18	14	14
1097023	10	7	7
585806	8	7	7
1097894	6	7	6
1083997	6	6	6
1083127	6	7	6
1041050	9	7	7
1025991	7	6	6
1090727	6	6	6
28216	9	7	7
565856	12	13	12
667535	8	10	8
1087589	7	7	7
143849	6	7	6
1036627	7	6	6
125996	8	8	8
666694	14	11	11
550565	11	9	9
1065160	9	9	9
931940	10	8	8
1087455	11	10	10
259781	9	8	8
1098048	9	6	6
589586	10	7	7
890532	8	7	7
347491	6	6	6
1101336	7	6	6
1098338	8	8	8
78418	8	12	8
1094519	10	8	8
578607	7	7	7
957688	6	10	6
787255	7	9	7
277785	7	8	7
556166	7	8	7
1010059	12	12	12
1017773	7	7	7
700835	7	8	7
1017537	15	18	15
1086266	8	9	8
1100486	6	6	6
709559	8	7	7
1058885	9	9	9
740762	7	6	6
995806	13	13	13
271038	6	6	6
1011003	6	6	6
852037	8	8	8
1016790	12	7	7
908154	8	8	8
1083642	7	8	7
801907	9	10	9
1096644	10	6	6
1079141	8	8	8
991662	12	13	12
1098804	8	9	8
615457	6	7	6
663679	8	8	8
307118	8	8	8
1054450	6	6	6
1022782	7	7	7
255027	10	12	10
994070	11	10	10
1085288	13	15	13
245921	9	9	9
250367	13	10	10
1082607	8	7	7
1099700	7	12	7
65770	8	8	8
1081609	6	6	6
1032822	9	9	9
1057539	9	9	9
1086760	7	9	7
75335	6	7	6
1035321	10	8	8
771170	6	6	6
609956	6	8	6
914321	11	9	9
1083410	6	6	6
1014697	11	8	8
961579	11	13	11
1005475	8	6	6
998891	6	7	6
11050	7	8	7
142153	9	8	8
263670	8	7	7
565915	10	9	9
975688	8	7	7
1079340	8	10	8
954144	11	11	11
721885	7	7	7
330450	8	6	6
1074603	7	8	7
103125	7	8	7
408765	10	8	8
1082263	11	10	10
987237	9	8	8
1058425	7	8	7
1053611	6	6	6
909886	7	7	7
298550	9	6	6
1092005	9	9	9
1033205	8	6	6
1084624	8	7	7
1101298	7	8	7
1011381	13	11	11
929372	6	6	6
1095699	13	14	13
926980	7	8	7
162351	8	6	6
326509	9	8	8
391662	10	9	9
566946	7	6	6
863623	8	9	8
1038879	11	7	7
1046475	6	8	6
174344	10	11	10
1093926	7	6	6
32176	8	8	8
575492	7	6	6
1012780	8	8	8
300306	7	9	7
22231	8	9	8
1000951	8	10	8
994005	8	9	8
1085356	6	7	6
276348	11	9	9
902657	6	7	6
992677	13	15	13
300674	12	11	11
290091	8	10	8
231292	9	7	7
1015556	7	6	6
1026775	9	9	9
81945	6	7	6
12903	6	7	6
579479	9	8	8
74328	8	7	7
165116	7	6	6
1091690	8	7	7
723781	7	7	7
257885	13	11	11
1096476	16	19	16
68095	7	8	7
1086555	7	7	7
588888	6	8	6
368728	8	8	8
1003590	7	7	7
469873	7	10	7
210690	9	10	9
952452	8	8	8
1085229	6	6	6
420304	7	6	6
596282	6	8	6
988306	7	6	6
656859	8	8	8
922389	8	7	7
1048381	6	8	6
1016406	19	16	16
625458	9	7	7
287912	9	6	6
1056405	8	6	6
240584	6	6	6
596088	6	6	6
953020	9	8	8
1024312	6	6	6
163602	6	7	6
948532	9	8	8
1087736	9	9	9
874914	6	10	6
767671	6	7	6
220151	6	8	6
250636	8	9	8
994338	7	7	7
1081946	6	7	6
672753	7	10	7
1092543	7	8	7
1087129	9	7	7
1100980	13	14	13
896479	8	6	6
992184	6	6	6
943170	9	7	7
171691	6	9	6
1097508	8	7	7
160339	6	6	6
626005	8	6	6
846082	10	7	7
228738	7	8	7
626462	9	7	7
574002	8	6	6
100250	6	6	6
1095633	9	9	9
841961	8	6	6
1018359	7	7	7
660672	8	9	8
1043914	14	10	10
1102300	7	7	7
1021682	12	8	8
1010537	6	6	6
264284	7	8	7
1095928	6	6	6
1096641	11	10	10
1011140	8	8	8
760817	8	12	8
1050231	6	7	6
1095537	7	6	6
863112	7	7	7
682190	7	7	7
1095631	8	8	8
323592	6	8	6
1007959	10	7	7
626701	6	7	6
10276	8	6	6
1032281	7	6	6
278542	7	8	7
1010277	15	15	15
987671	9	8	8
823203	12	10	10
728460	8	9	8
1026799	10	7	7
1011166	9	6	6
1004191	6	7	6
984856	8	9	8
379337	8	8	8
1063659	13	11	11
8701	23	21	21
1094081	7	6	6
820161	9	7	7
1082966	6	7	6
1099903	6	6	6
251172	9	12	9
299350	7	6	6
576360	6	6	6
375291	8	8	8
1072188	7	6	6
1093920	20	17	17
894610	11	10	10
727765	6	6	6
895932	7	6	6
1031910	10	8	8
1097314	9	9	9
993883	15	12	12
775138	8	8	8
1084230	6	9	6
1097223	7	8	7
155234	6	6	6
1083598	6	6	6
625205	8	8	8
995576	7	7	7
338917	6	8	6
183880	6	6	6
1019649	6	7	6
665972	7	10	7
552868	11	6	6
408945	8	8	8
1010615	9	7	7
372378	9	8	8
1088928	9	9	9
1085924	7	8	7
339981	7	6	6
294518	8	7	7
278606	6	8	6
1011328	13	9	9
1033249	7	7	7
499126	7	6	6
590433	7	8	7
859229	9	9	9
1097585	10	13	10
160671	11	11	11
583686	9	6	6
997713	10	7	7
1008977	8	7	7
1083108	9	7	7
1070546	8	7	7
1002584	7	9	7
1083157	8	6	6
559318	8	8	8
663890	15	13	13
1086085	10	8	8
358150	7	7	7
1078906	10	10	10
998192	7	7	7
987822	11	10	10
1042099	8	7	7
259763	15	13	13
1096509	10	7	7
572517	10	7	7
270642	6	7	6
299023	10	11	10
726614	6	6	6
393881	7	7	7
1082339	6	8	6
823549	7	7	7
803861	7	6	6
290499	7	7	7
505810	6	6	6
738422	6	8	6
166403	7	8	7
267566	12	11	11
1084075	8	8	8
337073	12	8	8
1013615	7	6	6
312368	7	6	6
1086008	7	7	7
893681	6	6	6
867947	8	6	6
245416	7	7	7
1085008	8	6	6
1090242	6	6	6
1033725	6	6	6
1083095	6	7	6
1005476	7	6	6
54531	8	11	8
154785	8	9	8
1093621	6	6	6
837740	7	6	6
66771	8	6	6
1085980	11	11	11
1068276	6	6	6
569507	10	9	9
313940	6	6	6
212251	7	8	7
806574	8	7	7
1096044	7	6	6
912879	10	12	10
909547	10	9	9
845719	9	9	9
589423	6	7	6
868525	8	8	8
1007696	19	19	19
1096947	6	7	6
884878	9	8	8
1098101	8	9	8
871376	7	8	7
289812	7	7	7
837202	7	6	6
999691	7	6	6
994311	9	8	8
632106	6	6	6
58551	15	17	15
275629	10	7	7
323815	8	9	8
437752	9	9	9
877161	12	12	12
1041159	9	8	8
634126	8	7	7
1096457	12	8	8
338040	6	9	6
1093491	13	8	8
208145	6	8	6
837467	6	8	6
1000000	6	9	6
261652	8	6	6
1008951	10	10	10
1085532	6	6	6
1096620	8	6	6
781877	6	6	6
690508	6	6	6
169390	6	6	6
1102235	6	6	6
997744	7	7	7
468907	11	14	11
1021318	10	8	8
1003557	7	6	6
1033718	9	9	9
572978	9	7	7
1036244	7	9	7
965578	7	8	7
1011860	6	12	6
649294	9	9	9
272500	8	8	8
211621	8	8	8
1097236	6	7	6
1097119	9	6	6
653054	10	7	7
292225	8	8	8
1096911	6	6	6
426504	7	6	6
354515	6	6	6
235027	9	9	9
1087764	8	7	7
820027	7	8	7
1093322	8	7	7
575616	7	6	6
73853	7	7	7
418423	7	7	7
409694	7	7	7
1009994	12	9	9
290632	7	7	7
960265	9	6	6
748054	6	9	6
1086855	8	7	7
